,0
AL6-220,AL6-400
BA15-220,BA15-400
BA4-220,BA4-400
BA5-220,BA5-400
BG10-220,BG10-400
BG3-220,BG3-400
BG57-220,BG57-400
CH12-220,CH12-380
CH14-220,CH14-380
CH18-220,CH18-380
CH22-220,way/207993342-380
CH29-220,way/207993342-380
CH34-220,CH34-380
CH51-220,CH51-400
CH51-225,CH51-400
CH57-220,CH57-225
CZ16-380,CZ16-400
CZ2-380,CZ2-400
DE100-220,DE100-380
DE102-220,DE102-380
DE107-220,DE107-380
DE110-220,DE110-380
DE125-220,DE125-380
DE137-220,DE137-380
DE138-220,DE138-380
DE139-220,DE139-380
DE148-220,DE148-380
DE172-220,DE172-380
DE18-220,DE18-380
DE202-220,DE202-380
DE205-220,DE205-380
DE22-220,DE22-380
DE23-220,DE23-380
DE24-220,DE24-380
DE27-220,DE27-380
DE30-220,DE30-380
DE35-220,way/33411203-380
DE62-220,DE62-380
DE66-220,DE66-380
DE67-220,DE67-380
DE68-220,DE68-380
DE69-220,DE69-380
DE70-220,DE70-380
DE73-220,DE73-380
DE74-220,DE74-380
DE77-220,DE77-380
DE80-220,DE80-380
DE87-220,DE87-380
DE89-220,DE89-380
DE96-220,DE96-380
DK16-380,DK16-400
ES103-220,ES103-400
ES12-220,ES12-400
ES18-220,ES18-400
ES199-220,ES199-400
ES257-220,ES257-400
FR128-225,FR128-400
FR136-225,FR136-400
FR15-225,FR15-400
GB74-275,way/1275300370-400
HU3-220,way/155227474-400
HU4-380,HU4-400
IT60-380,IT60-400
IT61-380,IT61-400
NO26-400,NO26-420
NO27-300,NO27-420
NO28-300,NO28-420
NO29-300,NO29-420
NO30-300,NO30-420
NO5-400,NO5-420
NO84-300,NO84-420
PL11-220,way/39428977-400
PL13-220,PL13-400
PL14-220,PL14-400
PL25-220,PL25-400
PL40-220,way/111615226-400
PL54-220,way/133537926-400
PL59-220,way/139452056-400
PT14-220,PT14-400
RO29-220,way/196672665-400
RO37-220,way/199657972-400
RO40-220,RO40-400
RO41-220,RO41-400
RO53-220,RO53-400
RO6-220,RO6-400
RS7-220,RS7-400
SE35-400,SE35-420
relation/11036958-300,relation/11036958-420
relation/11097406-400,relation/11097406-420
relation/13110368-275,relation/13110368-400
relation/13260100-225,relation/13260100-400
relation/13844905-220,relation/13844905-380
relation/13889505-220,relation/13889505-400
relation/14921826-275,relation/14921826-400
relation/15657011-220,relation/15657011-400
