,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,XK
2019-01-01 00:00:00,793.3024137931035,5852.0,1176.0493827160494,8542.0,4133.0,6545.98,5677.73,41400.0,3186.04,825.5,22699.0,10152.0,60301.0,27832.0,5225.19,1732.0,3986.0,2980.0,22850.0,1120.75,438.0,648.0,403.61,932.4782758620689,10893.0,15622.94,14466.59,4796.9,5856.0,5282.0,14375.0,1053.2,2744.0,939.0222222222222
2019-01-01 01:00:00,739.486551724138,5619.0,1102.037037037037,8077.0,3991.0,6699.34,5622.2,39889.0,3070.07,788.9,21336.0,9920.0,58540.0,27634.0,4986.27,1623.0,3733.0,2823.0,21600.0,1076.68,391.0,624.0,376.23,869.2210344827587,10602.0,15705.29,13773.58,4649.6,5675.0,5067.0,14153.0,1011.07,2679.0,900.8000000000001
2019-01-01 02:00:00,685.2186206896553,5324.0,1041.604938271605,7823.0,3894.0,6911.95,5474.74,38650.0,2966.19,769.0,20184.0,9844.8,55144.0,25184.0,4758.82,1534.0,3554.0,2595.0,20255.0,1057.13,391.0,612.0,348.62,805.4324137931035,10303.0,15643.08,13406.2,4394.4,5570.0,4739.0,13896.0,963.31,2608.0,842.4888888888889
2019-01-01 03:00:00,649.9768965517242,5273.0,1010.3703703703704,7636.0,3841.0,6840.4,5432.51,38794.0,2933.48,762.9,19430.0,9912.7,52978.0,22708.0,4580.34,1488.0,3499.0,2456.0,19459.0,1058.49,385.0,614.0,330.69,764.0079310344828,10022.0,15611.87,13216.3,4176.6,5524.0,4445.0,13955.0,937.86,2602.0,790.2222222222223
2019-01-01 04:00:00,634.2920689655173,5439.0,1015.8024691358025,7617.0,3820.0,6719.15,5446.35,38581.0,2940.64,765.8,19161.0,10027.0,52584.0,21614.0,4605.0,1496.0,3518.0,2376.0,19503.0,1092.09,392.0,618.0,322.71,745.5713793103448,10052.0,15727.78,13126.4,4016.9,5508.0,4204.0,14166.0,961.02,2594.0,747.3777777777779
2019-01-01 05:00:00,636.9455172413793,5517.0,1041.604938271605,7716.0,3878.0,6713.51,5413.39,37766.0,3035.76,780.8,19342.0,9966.7,52881.0,21526.0,4745.84,1534.0,3600.0,2334.0,20380.0,1112.95,410.0,638.0,324.06,748.6903448275862,10309.0,16040.49,13215.61,3943.3,5496.0,4310.0,14352.0,1006.75,2663.0,766.2222222222223
2019-01-01 06:00:00,655.2444827586207,5948.0,1037.530864197531,7711.0,4079.0,6728.43,5450.17,38364.0,3100.51,799.3,19794.0,10104.0,53173.0,22639.0,4967.07,1528.0,3643.0,2376.0,20833.0,1122.75,367.0,652.0,333.37,770.1996551724138,10568.0,16324.82,13087.74,3922.6,5500.0,4145.0,14807.0,1051.45,2658.0,736.8888888888889
2019-01-01 07:00:00,716.5686206896552,6204.0,1106.111111111111,7723.0,4331.0,6673.48,5449.62,38806.0,3208.1,798.8,19726.0,10084.0,52929.0,25026.0,5551.28,1629.0,3745.0,2440.0,21199.0,1136.61,349.0,655.0,364.57,842.2824137931034,10863.0,16654.68,12992.96,3829.7,5593.0,4323.0,15064.0,1088.8,2718.0,768.5333333333334
2019-01-01 08:00:00,784.1037931034483,6544.0,1210.679012345679,7820.0,4489.0,6693.42,5891.23,41283.0,3337.19,830.8,20386.0,10230.0,53830.0,26698.0,6250.66,1783.0,3882.0,2467.0,22341.0,1222.77,380.0,697.0,398.93,921.6658620689656,11200.0,16934.87,13425.55,3785.7,5657.0,4585.0,15492.0,1130.78,2892.0,815.1111111111111
2019-01-01 09:00:00,827.5613793103449,6884.0,1284.0123456790125,8196.0,4543.0,6839.82,6291.89,43816.0,3530.81,864.7,22053.0,10407.0,55677.0,29909.0,6801.55,1891.0,4028.0,2574.0,23695.0,1290.17,386.0,733.0,421.04,972.7475862068966,11620.0,17368.8,14082.94,4105.3,5726.0,4952.0,15810.0,1132.84,2953.0,880.3555555555556
2019-01-01 10:00:00,832.1803448275863,7064.0,1326.111111111111,8631.0,4489.0,6920.26,6502.42,47359.0,3679.1,876.6,23308.0,10533.0,57722.0,33020.0,6890.29,1953.0,4195.0,2830.0,24547.0,1324.24,382.0,755.0,423.39,978.1768965517241,12092.0,17611.37,14688.34,4493.2,5764.0,5047.0,16045.0,1143.0,3071.0,897.2444444444445
2019-01-01 11:00:00,822.2937931034484,7062.0,1303.7037037037037,8740.0,4398.0,6896.08,6662.42,48967.0,3746.84,881.9,23858.0,10568.0,60387.0,35218.0,6574.84,1920.0,4329.0,3093.0,25172.0,1335.83,396.0,753.0,418.36,966.5558620689656,12354.0,17736.62,15234.81,4848.2,5744.0,5133.0,16254.0,1140.52,3066.0,912.5333333333334
2019-01-01 12:00:00,801.7737931034484,7041.0,1240.5555555555557,8954.0,4319.0,7193.23,6727.27,48355.0,3761.13,894.3,24340.0,10547.0,60029.0,36270.0,5894.49,1827.0,4331.0,3312.0,23970.0,1333.46,400.0,755.0,407.92,942.4358620689655,12486.0,17689.1,15708.93,5014.1,5729.0,5100.0,16321.0,1119.23,3070.0,906.6666666666667
2019-01-01 13:00:00,782.3937931034484,6938.0,1197.0987654320988,8786.0,4376.0,7268.09,6721.9,48088.0,3800.54,901.1,24244.0,10838.0,57977.0,36208.0,5880.39,1763.0,4366.0,3426.0,23088.0,1335.3,452.0,770.0,398.06,919.6558620689655,12461.0,18081.75,15801.49,4754.5,5812.0,5036.0,16874.0,1121.95,3073.0,895.2888888888889
